English,Czech
part,část
history,historie
search,hledat
only,jen
police,policie
thought,myslel
help,pomoc
request,žádost
kind,druh
month,měsíc
brother,bratr
let,nechat
because,protože
to put,vložit
no,žádný
leash,vodítko
them,oni
city,mesto
each,každý
speak,mluvil
come,přišel
should,měl by
baby,miminko
long time,dlouho
hours,hodiny
will,budou
while,během
meet again,znovu se setkat
any,žádný
square,náměstí
speak,mluví
understood,pochopil
knew,věděl
were,byli
Warning,pozor
here is,tady je
could,mohl by
case,případ
give,dát
type,typ
their,jejich
given,dán
train,vlak
body,tělo
place,místo
eyes,oči
way,způsob
listen,poslouchej
whose,jehož
find,najít
first,první
lost,ztracený
hand,ruka
first,první
side,strana
power,moc
old,starý
be,buď
here,tady
morning,ráno
so much,tolik
child,dítě
point,bod
came,přišel
after,poté
sorry,promiň
come,přijďte
in front of,před
towards,směrem k
minutes,minuty
request,žádost
bedroom,ložnice
placed,umístěn
beautiful,krásná
law,zákon
would like to,chtěl bych
today,dnes
husband,manžel
cause,důvod
finally,nakonec
hope,doufám
water,voda
Wait,počkat
left,odešel
new,nový
job,práce
Stop,zastavit
would say,řekl by
Earth,země
account,účet
given,dán
far,daleko
end,konec
believe,věřit
sweetheart,miláčku
large,velký
rather,spíše
will have,bude mít
girls,dívky
to play,hrát
office,kancelář
